ABG94290.1,AGP60240.1,38.25,8e-35,73,311
ABG94291.1,AGP60262.1,48.56,3e-72,87,581
ABG96268.1,AGP58228.1,45.0,4e-44,83,372
ABG96274.1,AGP56628.1,68.73,0.0,99,1357
ABG96319.1,AGP59798.1,38.64,2e-38,84,343
ABG96325.1,AGP51943.1,32.46,7e-45,98,403
ABG96377.1,AGP60254.1,41.21,3e-66,99,548
ABG96378.1,AGP60210.1,48.48,1e-67,98,551
ABG96379.1,AGP60211.1,65.15,1e-176,100,1286
ABG96380.1,AGP54066.1,75.0,8e-159,98,1150
ABG96382.1,AGP60249.1,61.54,2e-170,92,1250
ABG96384.1,AGP60214.1,56.54,2e-74,94,573
ABG96385.1,AGP52886.1,73.51,0.0,100,1480
ABG96436.1,AGP60217.1,57.31,6e-100,99,752
ABG96437.1,AGP60218.1,56.63,2e-104,94,790
ABG96438.1,AGP60219.1,66.26,2e-117,94,868
ABG96439.1,AGP60220.1,62.06,9e-108,97,805
ABG96440.1,AGP60221.1,68.85,7e-141,100,1033
ABG96441.1,AGP60246.1,39.73,2e-61,92,530
ABG96442.1,AGP58229.1,57.87,2e-150,98,1123
ABG96465.1,AGP58213.1,63.14,0.0,86,1400
ABG96468.1,AGP61223.1,33.96,2e-38,90,346
ABG96469.1,AGP60048.1,67.35,0.0,99,1360
ABG96471.1,AGP60046.1,50.62,6e-98,98,752
ABG96472.1,AGP58233.1,50.73,8e-111,99,842
ABG96475.1,AGP60044.1,43.8,2e-142,98,1091
ABG96476.1,AGP60040.1,57.57,1e-142,99,1058
ABG96479.1,AGP60034.1,53.38,6e-149,100,1105
ABG97564.1,AGP57678.1,37.03,4e-52,93,446
ABG97568.1,AGP58245.1,60.84,7e-117,95,876
ABG97569.1,AGP60200.1,36.83,3e-98,95,787
ABG97571.1,AGP55704.1,44.09,9e-51,73,433
ABG97585.1,AGP59904.1,42.68,9e-49,87,416
ABG97586.1,AGP59570.1,40.15,2e-39,98,349
ABG97594.1,AGP58243.1,53.31,5e-83,99,647
ABG97600.1,AGP61247.1,37.99,2e-31,85,298
ABG97603.1,AGP56626.1,50.0,1e-96,98,744
ABG97604.1,AGP56485.1,41.16,2e-67,98,558
ABG97605.1,AGP56627.1,62.7,2e-51,88,410
ABG97610.1,AGP51978.1,32.71,4e-33,87,326
ABH00053.1,AGP52009.1,29.64,9e-38,94,351
ABH00056.1,AGP60250.1,63.69,1e-70,87,543
ABH00063.1,AGP61435.1,63.16,2e-40,32,355
ABH00071.1,AGP51729.1,46.45,5e-39,69,335
ACY32017.1,AGP59360.1,37.14,8e-35,97,315
ACY32018.1,AGP53938.1,40.46,6e-40,99,351
ACY32027.1,AGP54077.1,42.33,5e-99,97,771
ACY32030.1,AGP54883.1,42.76,9e-79,79,655
ACY32033.1,AGP55737.1,32.61,1e-35,88,336
ACY32035.1,AGP60213.1,59.47,4e-93,100,709
ACY32049.1,AGP55701.1,31.66,2e-63,98,558
ACY32056.1,AGP57704.1,37.76,1e-41,93,362
ACY32075.1,AGP52165.1,39.84,7e-43,91,373
ACY32093.1,AGP60594.1,38.25,1e-64,99,542
ACY32101.1,AGP54033.1,39.74,3e-31,46,289
ACY32106.1,AGP55710.1,50.38,1e-174,95,1304
CCP46231.1,AGP57114.1,61.57,0.0,97,1670
CCP46338.1,AGP60045.1,52.96,9e-86,99,661
CCP46340.1,AGP60244.1,32.99,4e-40,72,365
CCP46344.1,AGP60047.1,54.29,1e-106,99,817
CCP46356.1,AGP51705.1,39.7,4e-77,97,626
CCP46362.1,AGP55711.1,47.37,6e-108,98,830
CCP46375.1,AGP60216.1,69.68,1e-171,97,1247
CCP46379.1,AGP60224.1,47.34,5e-64,94,508
CCP46382.1,AGP55733.1,48.02,8e-124,99,944
CCP46388.1,AGP55764.1,39.18,9e-36,91,326
CCP46393.1,AGP52192.1,33.42,5e-60,94,511
